image,mask,split
Data/raw/dust_seg/images/Imgclean_0_0.jpg,Data/raw/dust_seg/masks/Imgclean_0_0.png,train
Data/raw/dust_seg/images/Imgclean_1000_0.jpg,Data/raw/dust_seg/masks/Imgclean_1000_0.png,train
Data/raw/dust_seg/images/Imgclean_1001_0.jpg,Data/raw/dust_seg/masks/Imgclean_1001_0.png,train
Data/raw/dust_seg/images/Imgclean_1002_0.jpg,Data/raw/dust_seg/masks/Imgclean_1002_0.png,train
Data/raw/dust_seg/images/Imgclean_1003_0.jpg,Data/raw/dust_seg/masks/Imgclean_1003_0.png,train
Data/raw/dust_seg/images/Imgclean_1004_0.jpg,Data/raw/dust_seg/masks/Imgclean_1004_0.png,train
Data/raw/dust_seg/images/Imgclean_1005_0.jpg,Data/raw/dust_seg/masks/Imgclean_1005_0.png,train
Data/raw/dust_seg/images/Imgclean_1006_0.jpg,Data/raw/dust_seg/masks/Imgclean_1006_0.png,train
Data/raw/dust_seg/images/Imgclean_1007_0.jpg,Data/raw/dust_seg/masks/Imgclean_1007_0.png,train
Data/raw/dust_seg/images/Imgclean_1008_0.jpg,Data/raw/dust_seg/masks/Imgclean_1008_0.png,train
Data/raw/dust_seg/images/Imgclean_1009_0.jpg,Data/raw/dust_seg/masks/Imgclean_1009_0.png,train
Data/raw/dust_seg/images/Imgclean_100_0.jpg,Data/raw/dust_seg/masks/Imgclean_100_0.png,train
Data/raw/dust_seg/images/Imgclean_1010_0.jpg,Data/raw/dust_seg/masks/Imgclean_1010_0.png,val
Data/raw/dust_seg/images/Imgclean_1011_0.jpg,Data/raw/dust_seg/masks/Imgclean_1011_0.png,val
Data/raw/dust_seg/images/Imgclean_1012_0.jpg,Data/raw/dust_seg/masks/Imgclean_1012_0.png,train
Data/raw/dust_seg/images/Imgclean_1013_0.jpg,Data/raw/dust_seg/masks/Imgclean_1013_0.png,train
Data/raw/dust_seg/images/Imgclean_1014_0.jpg,Data/raw/dust_seg/masks/Imgclean_1014_0.png,train
Data/raw/dust_seg/images/Imgclean_1015_0.jpg,Data/raw/dust_seg/masks/Imgclean_1015_0.png,train
Data/raw/dust_seg/images/Imgclean_1016_0.jpg,Data/raw/dust_seg/masks/Imgclean_1016_0.png,val
Data/raw/dust_seg/images/Imgclean_1017_0.jpg,Data/raw/dust_seg/masks/Imgclean_1017_0.png,train
Data/raw/dust_seg/images/Imgclean_1018_0.jpg,Data/raw/dust_seg/masks/Imgclean_1018_0.png,train
Data/raw/dust_seg/images/Imgclean_1019_0.jpg,Data/raw/dust_seg/masks/Imgclean_1019_0.png,train
